text,frequency
NBA,34
조던,21
르브론,18
흑인,15
재계약,15
MVP,14
DB,11
마이클,11
분노,10
서울,10
KBL,10
,9
선수,9
워니,9
KCC,9
사망,9
중,8
재개,8
SK,8
프로농구,7
영입,7
시즌,7
훈련,7
외국인,7
자이언,7
제임스,7
오누아쿠,7
핵심,6
사건,6
LA,6
PO,6
자밀,6
2020FA,6
후,6
매거진,6
릴라드,6
삼성,6
점,5
인사,5
두,5
잔류,5
다시,5
드래프트,5
신인,5
10대,5
윌리엄슨,5
타이치,5
배수용,5
할,5
우리은행,5
논란,5
그,5
우승,5
이유,5
기회,5
뛴다,5
헤인즈,5
6순위,5
최고,5
플레이오프,5
르브론도,5
커리,5
더,5
것,4
아시아쿼터,4
내,4
2020,4
연봉,4
마지막,4
많아,4
10인,4
코비,4
LG,4
마니아,4
아데토쿤보,4
리그,4
피해자,4
유일하게,4
KGC,4
함께,4
데뷔전,4
낙찰,4
싶다,4
뉴욕,4
모두,4
구단,4
다른,4
레이커스,4
예정,4
미네소타주,4
모비스,4
잃,4
한국,4
이대성,4
입장권,4
저평,4
입대,3
PICK,3
처리,3
분석,3
